Player,Nation,Team,Position,Age,Matches played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals,Expedted Assist Goals,Progressive Carries in Progression,Progressive Passes in Progression,Progressive Passes Received in Progression,Goals Scored per 90 minutes,Assists per 90 minutes,Expected Goals per 90 minutes,Expected Assists Goals per 90 minutes,Goals Against per 90 minutes,Save Percentage,Clean Sheets Percentage,Penalty Save Percentage,Percentage of shots that are on target,Shots on target per 90 minutes,Goals per shot,Average Shot Distance,Passes Completed,Pass Completion Percentage,Total Passing Distance,Passes Completion Percentage (Short),Passes Completion Percentage (Medium),Passes Completion Percentage (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes in Expected,Shot-Creating Actions,Shot-Creating Actions per 90 minutes,Goal-Creating Actions,Goal-Creating Actions per 90 minutes,Tackles,Tackles Won,Dribblers Tackled,Dribbles Challenged,Blocks,Shots Blocked,Passes Blocked,Interceptions,Touches,Touches(Defensive Penalty Area),Touches(Defensive Third),Touches(Mid Third),Touches(Attacking Third),Touches(Attacking Penalty Area),Take-Ons Attempted(Take-Ons),Percentage of Take-Ons Completed Successfully,Tackled During Take-Ons Percentage,Carries,Progressive Carrying Distance,Progressive Carries in Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received in Receiving,Fouls Committed,Fouls Drawn,Offsides,Crosses,Ball Recoveries,Aerials Won,Aerials Lost,Aerials Won Percentage,Transfer Fee
Milos Kerkez,HUN,Bournemouth,DF,21-176,34,34,"2,987",2,5,4,0,0.5,3.4,93,143,163,0.06,0.15,0.02,0.1,N/a,N/a,N/a,N/a,29.4,0.15,0.12,20.4,1175,75.2,18321,89.1,77.9,36.5,31,79,35,22,143,75,2.26,9,0.27,49,26,36,14,36,11,25,40,1915,104,494,805,639,57,44,45.5,31.8,952,3268,93,65,15,43,18,1032,163,27,44,1,120,153,25,46,35.2,€61.5M
Mohamed Salah,EGY,Liverpool,FW,32-321,34,34,"3,011",28,18,1,0,23.9,12.8,142,129,425,0.84,0.54,0.71,0.38,N/a,N/a,N/a,N/a,42.3,1.4,0.17,14.8,811,71.3,12057,83.7,69.9,58.9,80,49,82,13,129,153,4.57,26,0.78,20,11,16,9,11,0,11,7,1526,10,88,464,993,320,123,44.7,52.0,1046,3303,142,54,113,105,62,1276,425,22,33,16,67,93,9,12,42.9,€38.5M
Mohammed Kudus,GHA,West Ham,"FW,MF",24-273,28,28,"2,331",4,2,1,1,6.5,2.3,88,74,194,0.15,0.08,0.25,0.09,N/a,N/a,N/a,N/a,29.9,0.77,0.06,15.6,640,83.6,10429,90.0,89.3,68.5,27,42,26,12,74,95,3.67,6,0.23,33,19,27,17,23,1,22,4,1141,12,158,466,558,115,188,44.7,46.3,748,2317,88,56,39,66,88,888,194,35,58,18,70,125,10,35,22.2,€61.7M
Moisés Caicedo,ECU,Chelsea,MF,23-181,34,34,"2,991",1,2,10,0,0.8,2.9,38,194,33,0.03,0.06,0.02,0.09,N/a,N/a,N/a,N/a,16.7,0.09,0.06,25.1,1792,89.7,31004,92.2,92.5,77.8,28,215,31,2,194,90,2.71,7,0.21,100,63,80,30,44,9,35,47,2340,85,502,1442,421,12,54,42.6,35.2,1308,2919,38,28,2,35,23,1642,33,61,54,0,8,197,30,15,66.7,€80.7M
Morgan Gibbs-White,ENG,Nott'ham Forest,MF,25-095,30,30,"2,451",5,7,10,1,4.7,4.5,63,145,116,0.18,0.26,0.17,0.16,N/a,N/a,N/a,N/a,34.0,0.66,0.09,17.0,861,78.1,13222,85.1,81.0,58.1,46,114,35,7,145,101,3.71,17,0.62,39,18,30,15,15,4,11,18,1424,33,169,718,560,86,74,40.5,45.9,812,2352,63,46,12,66,39,1072,116,33,36,7,37,115,37,47,44.0,€61.7M
Morgan Rogers,ENG,Aston Villa,"FW,MF",22-280,33,33,"2,763",8,8,9,0,6.1,6.9,102,113,171,0.26,0.26,0.2,0.22,N/a,N/a,N/a,N/a,36.5,0.62,0.15,15.8,606,73.9,8871,81.4,76.6,80.0,45,69,51,2,113,95,3.1,13,0.42,35,18,38,20,24,7,17,5,1229,36,182,535,537,133,145,41.4,45.5,718,2908,102,62,32,102,67,866,171,46,47,2,21,103,11,43,20.4,€69M
Murillo,BRA,Nott'ham Forest,DF,22-302,33,33,"2,928",1,0,5,0,1.4,1.1,20,102,5,0.03,0.0,0.04,0.03,N/a,N/a,N/a,N/a,21.7,0.15,0.04,22.5,1015,77.9,20088,90.1,87.4,48.5,13,116,12,1,102,37,1.14,2,0.06,52,36,45,19,66,43,23,30,1728,384,885,764,93,20,33,78.8,21.2,736,2203,20,24,1,18,10,874,5,25,4,0,12,129,42,19,68.9,€68.4M
Myles Lewis-Skelly,ENG,Arsenal,DF,18-218,19,12,"1,078",1,0,2,2,0.1,0.3,29,57,32,0.08,0.0,0.01,0.03,N/a,N/a,N/a,N/a,50.0,0.08,0.50,14.3,549,90.7,8096,95.7,90.8,63.2,6,54,8,1,57,21,1.75,0,0.0,21,14,9,0,1,0,1,6,705,18,124,386,208,14,26,46.2,34.6,402,1332,29,21,5,9,8,482,32,10,35,0,8,42,7,7,50.0,€34.9M
Nathan Collins,IRL,Brentford,DF,24-002,34,34,"3,060",2,3,5,0,2.5,2.0,28,113,18,0.06,0.09,0.07,0.06,N/a,N/a,N/a,N/a,35.3,0.18,0.12,10.8,1535,85.8,29284,87.9,92.4,59.7,10,98,7,2,113,30,0.88,8,0.24,36,21,31,10,69,49,20,31,2197,355,1151,895,161,65,12,50.0,41.7,1146,3686,28,10,0,17,8,1328,18,24,25,6,7,148,109,59,64.9,€33.3M
Neco Williams,WAL,Nott'ham Forest,DF,24-019,31,24,"2,234",1,2,6,0,2.2,1.4,57,75,82,0.04,0.08,0.09,0.06,N/a,N/a,N/a,N/a,18.2,0.24,0.03,19.7,695,75.6,10381,89.9,71.8,39.8,15,53,18,7,75,44,1.77,5,0.2,73,44,70,27,39,9,30,24,1300,139,478,459,380,36,42,40.5,42.9,527,1800,57,26,14,25,17,601,82,22,37,1,43,94,35,28,55.6,€23.4M
