Player,Nation,Team,Position,Age,Transfer Fee
Marc Guéhi,ENG,Crystal Palace,DF,24-293,€54.2M
Marcos Senesi,ARG,Bournemouth,DF,27-357,€20.4M
Marcus Rashford,ENG,Manchester Utd,"FW,MF",27-183,€53.6M
Marcus Tavernier,ENG,Bournemouth,"FW,MF",26-041,€24.4M
Mario Lemina,GAB,Wolves,"MF,DF",31-243,
Mark Flekken,NED,Brentford,GK,31-323,€13.6M
Martin Dúbravka,SVK,Newcastle Utd,GK,36-107,€1.3M
Martin Ødegaard,NOR,Arsenal,MF,26-136,€126.5M
Mateo Kovačić,CRO,Manchester City,MF,30-361,
Mateus Fernandes,POR,Southampton,MF,20-296,€22.5M
Matheus Cunha,BRA,Wolves,"MF,FW",25-340,€62.6M
Matheus Nunes,POR,Manchester City,"DF,MF",26-248,€42.3M
Matt Doherty,IRL,Wolves,DF,33-106,€4.2M
Matthijs de Ligt,NED,Manchester Utd,DF,25-263,€52.2M
Matty Cash,POL,Aston Villa,DF,27-268,€32.9M
Matz Sels,BEL,Nott'ham Forest,GK,33-065,€9.1M
Max Kilman,ENG,West Ham,DF,27-344,€36.7M
Maxence Lacroix,FRA,Crystal Palace,DF,25-026,€27.7M
Micky van de Ven,NED,Tottenham,DF,24-013,€61.8M
Mikel Merino,ESP,Arsenal,"MF,FW",28-314,€40.5M
Mikkel Damsgaard,DEN,Brentford,"MF,FW",24-303,€28.6M
Milos Kerkez,HUN,Bournemouth,DF,21-176,€61.5M
Mohamed Salah,EGY,Liverpool,FW,32-321,€38.5M
Mohammed Kudus,GHA,West Ham,"FW,MF",24-273,€61.7M
Moisés Caicedo,ECU,Chelsea,MF,23-181,€80.7M
Morgan Gibbs-White,ENG,Nott'ham Forest,MF,25-095,€61.7M
Morgan Rogers,ENG,Aston Villa,"FW,MF",22-280,€69M
Murillo,BRA,Nott'ham Forest,DF,22-302,€68.4M
Myles Lewis-Skelly,ENG,Arsenal,DF,18-218,€34.9M
Nathan Collins,IRL,Brentford,DF,24-002,€33.3M
Neco Williams,WAL,Nott'ham Forest,DF,24-019,€23.4M
Nick Pope,ENG,Newcastle Utd,GK,33-013,€11.7M
Nicolas Jackson,SEN,Chelsea,FW,23-316,€66.2M
Nicolás Domínguez,ARG,Nott'ham Forest,"MF,FW",26-308,€18.8M
Nikola Milenković,SRB,Nott'ham Forest,DF,27-202,€38M
Noni Madueke,ENG,Chelsea,FW,23-053,€51.6M
Noussair Mazraoui,MAR,Manchester Utd,DF,27-169,€43M
Nélson Semedo,POR,Wolves,DF,31-167,€8.4M
Ola Aina,NGA,Nott'ham Forest,DF,28-206,€18.8M
Oliver Skipp,ENG,Leicester City,MF,24-228,€17M
Ollie Watkins,ENG,Aston Villa,FW,29-123,€61.4M
Omar Marmoush,EGY,Manchester City,"FW,MF",26-084,€79.1M
Omari Hutchinson,ENG,Ipswich Town,"MF,FW",21-184,
Orel Mangala,BEL,Everton,MF,27-045,€24.4M
Pape Matar Sarr,SEN,Tottenham,MF,22-230,€50.8M
Pau Torres,ESP,Aston Villa,DF,28-106,€45.3M
Paul Onuachu,NGA,Southampton,FW,30-339,€12.7M
Pedro Neto,POR,Chelsea,FW,25-054,€60.6M
Pedro Porro,ESP,Tottenham,DF,25-231,€55.9M
Pervis Estupiñán,ECU,Brighton,DF,27-101,€37.1M
Phil Foden,ENG,Manchester City,"MF,FW",24-339,€105.7M
Radu Drăgușin,ROU,Tottenham,DF,23-088,
Rasmus Højlund,DEN,Manchester Utd,FW,22-087,€54.9M
Rayan Aït-Nouri,ALG,Wolves,DF,23-330,
Raúl Jiménez,MEX,Fulham,FW,33-362,€5.1M
Riccardo Calafiori,ITA,Arsenal,DF,22-348,€49.3M
Rico Lewis,ENG,Manchester City,"DF,MF",20-162,€62.7M
Robert Sánchez,ESP,Chelsea,GK,27-165,€24.9M
Rodrigo Bentancur,URU,Tottenham,MF,27-311,€31.5M
Rodrigo Muniz,BRA,Fulham,FW,23-363,€8.2M
Ryan Christie,SCO,Bournemouth,MF,30-069,€16.2M
Ryan Gravenberch,NED,Liverpool,MF,22-351,€85.3M
Ryan Manning,IRL,Southampton,"DF,MF",28-322,€3.9M
Ryan Yates,ENG,Nott'ham Forest,MF,27-162,€18.3M
Rúben Dias,POR,Manchester City,DF,27-353,€58.5M
Sam Morsy,EGY,Ipswich Town,MF,33-234,€1.3M
Sammie Szmodics,IRL,Ipswich Town,"FW,MF",29-220,€14.1M
Sander Berge,NOR,Fulham,MF,27-077,€27.8M
Sandro Tonali,ITA,Newcastle Utd,MF,24-359,€52.9M
Santiago Bueno,URU,Wolves,DF,26-174,
Saša Lukić,SRB,Fulham,MF,28-262,€12.1M
Sepp van den Berg,NED,Brentford,DF,23-133,€26.4M
Son Heung-min,KOR,Tottenham,FW,32-298,
Stefan Ortega,GER,Manchester City,GK,32-177,€5.8M
Stephy Mavididi,ENG,Leicester City,FW,26-336,€12.9M
Sávio,BRA,Manchester City,"FW,MF",21-022,€74.8M
Taylor Harwood-Bellis,ENG,Southampton,DF,23-092,
Thomas Partey,GHA,Arsenal,"MF,DF",31-323,€15.2M
Timothy Castagne,BEL,Fulham,DF,29-148,€17.4M
Tomáš Souček,CZE,West Ham,MF,30-064,
Tosin Adarabioyo,ENG,Chelsea,DF,27-220,€24.3M
Toti Gomes,POR,Wolves,DF,26-106,€18.6M
Trent Alexander-Arnold,ENG,Liverpool,DF,26-207,€55.8M
Trevoh Chalobah,ENG,Crystal Palace,DF,25-301,€20.1M
Tyler Adams,USA,Bournemouth,MF,26-077,€24.4M
Tyler Dibling,ENG,Southampton,"FW,MF",19-051,€32.7M
Tyrick Mitchell,ENG,Crystal Palace,DF,25-243,€24.6M
Tyrone Mings,ENG,Aston Villa,DF,32-050,€5.8M
Valentino Livramento,ENG,Newcastle Utd,DF,22-171,€49.3M
Victor Bernth Kristiansen,DEN,Leicester City,DF,22-137,
Virgil van Dijk,NED,Liverpool,DF,33-298,€24.3M
Vitaliy Mykolenko,UKR,Everton,DF,25-338,€33.5M
Vitaly Janelt,GER,Brentford,MF,26-357,€27.1M
Wes Burns,WAL,Ipswich Town,"FW,DF",30-160,€2.1M
Wesley Fofana,FRA,Chelsea,DF,24-136,€30.3M
Wilfred Ndidi,NGA,Leicester City,MF,28-137,€20.3M
Will Hughes,ENG,Crystal Palace,MF,30-015,€11.1M
William Saliba,FRA,Arsenal,DF,24-039,€79.5M
Wout Faes,BEL,Leicester City,DF,27-029,€25M
Yankuba Minteh,GAM,Brighton,"FW,MF",20-284,€42.6M
Yasin Ayari,SWE,Brighton,MF,21-208,€21.4M
Yehor Yarmoliuk,UKR,Brentford,MF,21-062,€18M
Yoane Wissa,COD,Brentford,FW,28-241,€31.4M
Youri Tielemans,BEL,Aston Villa,MF,27-360,€41.5M
Yukinari Sugawara,JPN,Southampton,"DF,MF",24-308,€15.7M
Yves Bissouma,MLI,Tottenham,MF,28-245,€29.8M
Álex Moreno,ESP,Nott'ham Forest,"DF,MF",31-328,€11M
İlkay Gündoğan,GER,Manchester City,MF,34-190,€12.1M
Łukasz Fabiański,POL,West Ham,GK,40-014,€0.9M
